series,x,y,z,color
Non-elderly Two-Parents Family,6.4,25.9,2418093,#FBA303
Non-elderly Sole Parent Family,19.8,28.5,982196,#FFD592
Non-elderly Childless Married Couple,8.3,38,1319852,#FB5D52
Non-elderly Single Adult Living with relatives,18.2,36.9,689856,#FFB3A1
Non-elderly Single Adults*,24.3,55.5,1091299,#294CCA
Elderly Two Parents Family,5.4,33.1,157306,#AEBEFF
Elderly Sole Parent Family,7.4,21.6,120919,#2F324E
Elderly Childless Married Couple,11.2,32.1,757614,#9893B5
Elderly Living with relatives,13.3,33.6,309659,#26B697
Single Senior*,27.5,41,435431,#72E8C9
